Model,imagenet-r,imagenet-sketch,imagenet-a,imagenetv2-matched-frequency
AlexNet,1.316002859,0.569911616,0.360902257,0.052407777
coat_lite_mini,-0.681583603,0.415752688,3.712098307,0.197590255
convit_small,-0.081756087,0.15195952,6.48394095,0.082314879
cornet_rt,3.446897418,2.044022358,0.020505541,1.274793013
cornet_s,0.146662966,0.116533634,-1.294226451,0.503579805
cornet_z,1.43262427,0.652417864,0.324383474,-0.580378708
deit_base_patch16_224,-0.801707902,-1.438755615,6.164764133,0.016463047
Densenet121,1.391093706,1.285612187,-0.15790631,0.032613929
Densenet161,1.23197034,2.334618473,-1.101659397,0.010241338
Densenet169,2.281993697,2.994313223,0.75486408,0.291655602
Densenet201,2.422024094,1.741035624,-1.865571786,-0.118592665
dm_nfnet_f0,1.41413126,2.014426428,-2.834537729,-0.380572625
efficientnet_b0,-1.133147375,-1.999459643,1.166206265,-0.087102293
efficientnet_b1,0.144634537,-2.510620963,2.76500727,-1.307569046
efficientnet_b2,-1.555050319,-0.987289075,0.28056102,-0.326994257
efficientnet_b3,3.26413126,2.319429843,0.930605005,-0.14022627
efficientnet_b4,3.025958868,2.576654908,-0.514842744,0.273960557
efficientnet_b5,0.614727863,-1.580669162,-2.534447973,0.539572315
gluon_resnet50_v1c,-1.545868502,-1.655596276,-2.165206597,0.213765591
gluon_resnext101_64x4d,0.501892424,-0.449163072,2.76056102,-0.042212023
GoogleNet,4.783735577,4.667991195,-0.299533102,1.132502407
inception_resnet_v2,0.675225754,1.593349913,2.998701745,0.548161001
inception_v3,-0.468024901,0.892178825,3.659132265,0.448506196
mixer_b16_224,-1.269738904,-0.453500112,3.935836314,-1.338195223
mnasnet05,-0.719442132,-1.464622812,-0.004133924,-0.167871086
mnasnet10,-1.911941996,-1.784290493,0.647535518,-0.422944894
mobilenet_v2,-1.484439043,-1.210690036,-0.285642508,0.041162764
mobilenet_v3_large,0.588698817,1.10993203,2.27236832,-1.034416813
mobilenet_v3_small,1.702461983,1.746359643,0.733002798,0.238964836
nfnet_l0,0.981756042,2.072174249,-1.984483981,-0.118458594
regnety_032,1.610115197,1.473442004,0.26070969,-0.163635353
regnety_080,-3.076071926,-3.676516725,-0.063514816,0.015859404
ResNet101,-0.082449098,0.416277994,-1.759958401,0.154399613
ResNet152,1.0437642,0.661877821,-1.846395134,0.402641476
ResNet18,2.259044661,1.842700393,-0.866292224,0.565542818
ResNet34,1.963479029,1.744915435,-0.376182261,0.326287533
ResNet50,-1.444880535,-0.899025528,-4.421579041,-0.806944449
resnext101_32x8d,0.822149625,0.08432598,0.436894951,-0.292881098
resnext50_32x4d,-0.543020233,-0.748182939,-0.405967317,-0.243941572
seresnet50,-0.130809648,-0.783157399,0.595154602,-0.166940734
ShuffleNetV2x05,1.820677641,0.126261691,0.165860338,0.141590759
ShuffleNetV2x10,1.346872391,-0.143298043,0.410254789,-0.296593237
Squeezenet1_0,0.943605536,0.013513691,-0.222897024,-0.027094719
Squeezenet1_1,0.936664011,0.666890299,-0.352264747,0.215567816
swin_base_patch4_window7_224,6.570645099,4.980397284,-1.902529387,0.113643696
tf_efficientnet_b2_ns,5.935291166,1.578196026,-0.194226788,0.638292677
tf_efficientnet_b4_ns,8.133308497,3.1589397,5.652952204,0.499124543
VGG11,-3.066278319,-2.055855663,-0.333110777,-0.195668758
VGG11_bn,-2.692106451,-1.515983646,-0.27876221,0.119151873
VGG13,-3.636490392,-2.431170505,-0.121998134,-0.100273893
VGG13_bn,-3.327914169,-2.183844992,-0.01617226,0.193370202
VGG16,-4.605893657,-2.495201845,0.493930606,0.10777063
VGG16_bn,-4.106970911,-1.851822217,0.354620584,-0.031177453
VGG19,-4.366973381,-2.889217513,-0.108745073,0.053849491
VGG19_bn,-2.001327269,-1.113382276,0.646951155,0.169008199
vit_base_patch16_224,5.934539275,4.318408074,-0.782052712,-0.580126325
vit_large_patch16_224,11.39664184,9.913516847,-8.133752528,-0.074464138
wide_resnet50_2,-0.257380555,-0.373712437,-0.961734962,-0.024497618
xception,-0.539451359,0.933911629,1.531173901,0.211957787
efficientnet_b3.ra2_in1k,2.640960241,2.631848307,4.318499124,0.141786672
beit_base_patch16_224.in22k_ft_in22k_in1k,7.55711364,5.790961742,2.391222818,0.007724286
gmlp_s16_224.ra3_in1k,3.501749727,2.536810085,4.861864668,0.296101089
convnext_base.fb_in22k_ft_in1k,8.076873813,6.94217757,-4.254667849,-0.1884165
tf_efficientnetv2_s.in21k_ft_in1k,4.180270013,5.140387075,4.665565362,0.074193106
resnetv2_50x1_bit.goog_in21k_ft_in1k,-5.357628722,-5.637379588,10.27894833,-0.617887346
mixer_b16_224.goog_in21k_ft_in1k,-1.269738904,-0.453500112,3.935836314,-1.338195223
mobilenetv3_large_100.miil_in21k_ft_in1k,-0.634698884,-0.80309954,3.625899564,-0.449660114
fastvit_t8.apple_dist_in1k,-1.166231058,-0.281142054,2.082783443,0.403286942
mobilevit_s.cvnets_in1k,-6.428737845,-5.399076486,5.388624655,0.205299509
maxvit_nano_rw_256.sw_in1k,-3.76361038,-3.236597702,4.962657176,0.019684601
