Model,R_V4_encoding_synthetic,R_IT_encoding_synthetic,R_V1_encoding_synthetic,R_V2_encoding_synthetic,R_V4_encoding_illusion,R_IT_encoding_illusion,R_V1_encoding_illusion,R_V2_encoding_illusion,%R2_V4_rsa_synthetic,%R2_IT_rsa_synthetic,%R2_V1_rsa_synthetic,%R2_V2_rsa_synthetic,%R2_V4_rsa_illusion,%R2_IT_rsa_illusion,%R2_V1_rsa_illusion,%R2_V2_rsa_illusion
AlexNet,-3.1827154906574506,-2.244075458278111,-0.10048673351685977,-1.0141560954174977,-0.6253824389303801,-1.0882804337297074,-1.0498414540788445,-0.5853704205477399,-4.467694306386562,-7.2989180970506595,-9.905900013074373,-8.319292160640696,-18.5459339585637,-12.887184389793525,-20.742279733151207,-17.727170306241902
coat_lite_mini,-0.9399266836803264,-0.8468436352005284,0.8901908000966685,0.3303088257583653,-1.417426030272381,-0.031441254242626115,-1.6311494735119751,-1.2247984574239084,-7.093798061207323,0.6980724614615781,5.525169836747843,3.7909732968267917,11.463363661705039,-8.740257518696573,0.04093354218579748,9.681342030532903
convit_small,-0.9395251476935016,-0.5602535552119434,0.9831136567521952,0.4500050819591479,-1.5731912404603818,-0.2819795907250011,-2.7322226659977034,-2.4529968974398386,-1.9919164135880507,4.822947614957748,-5.078855057857659,-2.6592583355201,-0.9707199396275428,-7.283372676897152,2.4098324372886992,6.599422419107512
cornet_rt,-1.040246005943331,-0.9184761004388804,-0.013412508033297854,-0.44472115461891804,-2.713735737626166,-1.3247463554935592,-1.1280896093304165,-1.126908020343592,-11.378869739644543,-11.08669449918969,-12.2632968527748,-8.941598883278367,-21.925773989022602,-16.833250882367928,-10.022923031766368,-12.360572560076662
cornet_s,0.6102679429005207,-0.015097700642453304,-0.5743514341985474,0.054972426366518334,0.39387412094220053,0.4108282115356019,-0.4218653408565203,0.14461232783824585,-0.7256924758059853,9.15217203693058,15.095651751486294,11.098970682402552,1.0993139777887038,10.338212014488803,0.1906823487459235,-0.3902082161863092
cornet_z,-3.713624281525803,-2.898849463656429,-0.9407845780557267,-1.5052186986381386,-2.5268225956289925,-1.2512502325475658,-0.7440888949838396,-1.0367986878099984,-8.945268977723899,-8.757305762662853,-0.4351894104720415,-5.285776881508671,-26.28863863489525,-19.89099327117674,-13.359101367702934,-15.615070422845278
deit_base_patch16_224,-1.4990429010284956,-1.1987874429840097,0.7583109706061038,0.3571501205367227,-0.6692831403534072,0.36173647825152244,-1.2714783485070384,-1.143766817033132,0.5087767349589711,8.168572689458962,-8.637354223981028,-1.4502113377982013,5.990916389340995,2.7601647954962374,1.640772183971869,4.478502789347601
Densenet121,0.6689623974504286,0.4871063054246676,0.023782729253689183,0.4499233343809479,0.2745200523844531,0.49533248553343157,0.30413315841811794,0.33923786793054234,-6.637976055539909,2.0541130684177205,-7.647739254570148,-5.302719529295942,1.6563307389521924,-1.4813698672708924,2.560685344157527,9.182104814090835
Densenet161,1.1351581678308165,1.247786167585712,0.17653288700781644,0.44089929025578556,0.863285762891266,0.5389630342296279,0.67724698745144,1.039673560293238,14.913478576486987,6.416536163907885,6.1477518095969685,4.260346102314102,15.025201283675301,4.320886264624505,-2.0458763688187602,1.8944108790486354
Densenet169,0.9841471088582168,1.3939253010317394,0.6696728688774343,0.8182497813593628,0.24373733688553045,0.7058234999284068,1.0050430903859962,1.1468708768361964,6.189385475588878,6.793972223487614,8.47125434710545,4.14065811149829,8.074098709286687,8.205249069486861,6.8156573731639725,3.1570372851549564
Densenet201,0.9163397210571347,1.037190927598619,0.3498036049891624,0.6358087064395974,0.5970436227959226,0.829910529920376,1.0414517756683281,0.43099405006806535,9.471787483417742,5.4332322437740785,4.089046264982542,3.7534597318538943,16.422655750911943,7.905426767934699,8.10070063119295,-0.19107302046964492
dm_nfnet_f0,-0.23600929404824456,0.1288299948818441,-0.4677723628006376,-0.4645029487330916,0.6983466137196004,0.5227284122916167,0.64750036175095,0.4362740048861298,-2.8518872872327137,7.660908390236358,-7.390015160551705,-4.599599634729046,8.439853618074011,5.345407777666196,0.9123231591609269,4.131066630024918
efficientnet_b0,0.04393511004600725,0.43968183642277836,1.1075561888900936,0.45564437745485975,-1.0712290466928422,-0.1542785663928683,-0.2092925315340537,-1.0061446677928743,0.851342301114876,1.4546485343054272,6.4607030717073,2.3128552653617263,2.9487673858775807,5.705565085205137,3.539281242396463,2.2154818063002466
efficientnet_b1,0.12188908239870244,0.48479332300396294,0.7540326901301242,0.5247279986802553,1.1414433298974842,0.9106510546252302,-0.6531665766970178,-0.1265086771308077,2.335007619946623,0.6078152005033459,-1.4974368992291645,1.1916949175826517,3.3449711994978557,5.81795035123055,6.9825597718623555,5.380160256388955
efficientnet_b2,-0.0432948723035409,0.10274008340193319,0.8801220484591568,0.05684787824645099,-0.6539245049022568,-0.8575409901316,-0.43766157014766804,-0.9344483507144759,3.9381798613453327,3.449746493504172,2.06812526504568,2.7966399546025897,1.453404803222483,-11.610857924011448,2.4195033119833766,-1.084904439143429
efficientnet_b3,0.8240794257347233,0.187555439307868,0.9794940521526669,0.9174874446947925,0.8467051109636614,0.32813014301746435,0.12969258366518233,0.45479275630032134,4.883718396877661,0.2555941617181574,5.843068756306039,-1.3583098730293415,9.131386418067862,1.1025379054834161,1.7861086061290905,8.978337509983923
efficientnet_b4,0.8039381229448921,1.1755034680498042,0.4947609576687384,0.5653600565283199,0.5217336536529231,0.11364174529970938,0.15232496465107204,0.269290024370477,10.241054835940325,-2.389961566015053,4.433996950963767,5.050630269831181,-0.2362032651166288,-2.025336903121911,1.582729571147297,2.103894184483053
efficientnet_b5,0.9082179546798201,0.8759023482213024,1.3748514035757893,1.1009761354403622,0.09831947718664935,0.9815888979947225,-0.10674416986661583,-0.3716965793569216,8.74628739697988,-2.3196660169083856,7.971160702808419,5.540461561508415,8.002497874637356,2.2808453084329443,0.06067452154442776,2.5184246160868113
gluon_resnet50_v1c,-0.00772194608331489,-0.34531195573748263,-0.5369678796606792,0.02128775365396507,0.44395979115810036,0.14902038028489173,0.2803104408586208,0.09907530779150164,0.22703553504189244,4.3989877552518735,10.5475836642349,10.403333794339055,7.545645702024018,4.921073816966526,1.9269450392303256,3.010932688932961
gluon_resnext101_64x4d,1.0332459563446719,0.4924456979082166,-0.05219651288429361,0.5228949672933112,0.4946702315965581,0.6063398078848401,0.5411655178781061,0.7240485529556224,8.850898419967088,7.812037664185603,6.1131961910253665,14.7881058844808,3.8768535476180475,7.099417193311822,-3.0897099226543574,-8.45149121234914
GoogleNet,0.468846105365472,0.4213569965759696,0.05054139124649737,0.35004312668313275,0.007284304316492296,0.14213765404380396,0.15148066155622786,0.24766694594485728,11.190094150684054,0.1711692105479372,-3.929166812749912,2.843621539096503,0.7782897594045224,6.252832858105819,4.71864714814491,1.8617956821801798
inception_resnet_v2,1.0820451657036187,0.5870029912602952,0.10656720326149838,0.35648206328559695,1.4812434067398925,1.267132872982522,0.14401426387407668,0.02731559500680447,5.086554901530953,4.625228821565614,3.7271880703169913,5.477396419172287,6.499405934392492,3.4743049610725194,7.605747071743593,7.003314910496769
